Name,Price,Buy,Hold,Sell,EPS_a,EPS_b,PE,PBV,DIV%,Target,Sts
SNC,14.00,0,1,0,1.86,1.69,7.5,1.0,6.8,18.60,X
SPALI,24.30,5,0,0,3.61,3.45,6.7,1.0,5.4,26.61,X
SPC,65.50,0,1,0,5.66,5.76,11.6,0.8,2.6,66.00,X
SPCG,14.50,1,1,0,2.06,1.42,7.0,0.8,4.4,15.40,X
SPRC,10.70,4,3,2,2.22,1.38,4.8,1.2,11.2,12.34,X
SPRIME,6.95,1,0,0,0.68,0.67,10.2,0.7,7.3,8.60,X
SSP,10.00,2,0,0,1.17,1.02,8.6,1.5,4.7,13.70,X
STA,21.10,3,1,0,2.88,2.27,7.3,0.6,7.1,22.00,X
STANLY,185.50,1,0,0,19.82,21.52,9.4,0.7,4.6,218,X
STEC,13.60,3,0,0,0.46,0.69,29.3,1.2,1.4,15.90,X
STGT,10.00,0,0,2,0.61,0.10,16.5,0.8,6.5,9.00,X
SUPEREIF,9.80,0,1,0,0.69,0.66,14.3,0.9,8.7,10.70,X
SVI,9.65,1,0,0,0.77,0.74,12.5,3.3,2.3,11.50,X
SYNEX,16.40,4,1,0,0.98,1.05,16.7,3.3,4.0,19.75,X
TASCO,16.90,1,2,1,1.06,1.11,15.9,1.6,4.4,17.03,X
TCAP,42.50,4,3,0,4.82,5.18,8.8,0.7,7.2,42.93,X
TFFIF,7.65,3,0,0,0.40,0.50,19.2,0.6,4.7,9.32,X
TFG,5.15,4,0,0,0.84,0.72,6.1,2.0,6.8,8.68,X
THANI,4.16,6,1,0,0.33,0.37,12.4,1.9,4.5,5.11,X
THG,68.50,0,0,4,1.72,0.96,39.9,5.7,1.4,46.13,X
TIDLOR,29.50,7,1,0,1.47,1.73,20.1,2.8,1.2,33.38,X
TIPH,46.00,2,0,0,2.06,3.70,22.3,2.6,2.2,79.00,X
TISCO,99.25,9,1,0,9.06,9.35,11.0,1.9,7.6,110.8,X
TK,8.40,1,0,0,0.95,0.86,8.8,0.7,6.0,8.90,X
TKN,11.60,0,1,0,0.24,0.30,49.0,7.6,1.6,8.10,X
TKS,12.40,1,0,0,1.45,1.07,8.6,1.4,4.0,14.90,X
TMT,7.80,0,2,0,0.39,0.76,20.1,2.0,4.0,7.95,X
TOA,33.75,4,1,0,0.82,1.02,41.3,5.3,1.3,37.00,X
TOP,56.25,8,0,1,15.55,6.28,3.6,0.8,7.2,67.11,X
TPIPL,1.82,1,0,0,0.40,0.30,4.6,0.6,5.5,2.40,X
TPIPP,3.40,1,1,0,0.43,0.43,7.9,0.9,6.3,3.93,X
TQM,39.00,3,0,0,1.44,1.78,27.0,5.7,2.9,57.33,X
TRUE,4.84,5,4,0,-0.19,-0.09,-24.8,2.2,1.3,5.45,X
TSE,2.34,3,0,0,0.35,0.40,6.8,0.7,3.7,3.19,X
TTA,8.20,1,0,0,2.33,1.52,3.5,0.5,4.3,11.00,X
TTB,1.41,5,0,0,0.15,0.16,9.7,0.6,3.7,1.53,X
TTW,9.00,1,0,1,0.77,0.83,11.6,2.4,6.8,10.55,X
TU,16.90,3,0,0,1.53,1.47,11.1,1.3,5.1,21.57,X
TVO,28.50,1,1,0,2.95,2.39,9.7,2.2,4.5,31.10,X
UTP,16.50,1,1,0,1.43,1.51,11.6,2.5,4.6,17.70,X
VGI,4.40,7,1,0,0.01,0.05,868.1,1.5,0.6,4.86,X
VIBHA,2.72,1,1,0,0.10,0.07,28.3,3.0,2.1,2.83,X
VNG,5.70,1,0,0,0.66,0.71,8.7,1.2,6.1,9.20,X
WHA,4.08,6,1,0,0.21,0.28,19.5,1.8,2.8,4.61,X
WHAIR,7.45,1,1,0,0.61,0.78,12.2,0.7,8.4,8.95,X
WHART,10.70,4,0,0,0.74,0.82,14.5,0.9,7.2,12.90,X
WHAUP,4.10,2,1,0,0.23,0.32,18.1,1.2,4.7,4.97,X
WICE,10.30,3,1,0,0.91,0.84,11.3,3.8,3.4,11.93,X
WORK,18.20,2,0,1,0.47,0.72,39.0,1.7,1.7,20.38,X
