name,date,prv,open,high,low,price,volume,daily_volume,par,ceiling,floor,chg_amt,chg_pct
IMH,2023-01-26,14.20,14.20,14.30,14.00,14.10,775101,10936.18,0.50,18.40,9.95,-0.10,-0.70
IMPACT,2023-01-26,14.00,13.90,14.00,13.80,14.00,459300,6368.54,10.60,18.20,9.80,0.00,0.00
INGRS,2023-01-26,0.58,0.57,0.58,0.57,0.57,527100,300.78,1.00,0.75,0.41,-0.01,-1.72
INOX,2023-01-26,1.02,1.03,1.04,1.01,1.02,4367303,4459.10,1.00,1.32,0.72,0.00,0.00
INTUCH,2023-01-26,73.75,73.75,74.00,73.25,73.25,1692918,124594.60,1.00,95.75,51.75,-0.50,-0.68
IP,2023-01-26,14.50,14.50,14.70,14.30,14.50,816440,11833.16,0.50,18.80,10.20,0.00,0.00
IRPC,2023-01-26,3.10,3.10,3.12,3.04,3.06,83686044,256318.38,1.00,4.02,2.18,-0.04,-1.29
IVL,2023-01-26,41.75,41.50,41.75,40.00,40.25,18062658,731755.74,1.00,54.25,29.25,-1.50,-3.59
JASIF,2023-01-26,8.20,8.25,8.25,8.15,8.20,13908156,114056.95,9.85,10.60,5.75,0.00,0.00
JMART,2023-01-26,37.75,37.75,38.00,35.25,35.50,35425033,1273703.02,1.00,49.00,26.50,-2.25,-5.96
JMT,2023-01-26,59.50,58.50,58.75,53.75,53.75,40105767,2229140.71,0.50,77.25,41.75,-5.75,-9.66
JWD,2023-01-26,22.00,22.00,22.30,21.20,21.20,7077808,153091.67,0.50,28.50,15.40,-0.80,-3.64
KBANK,2023-01-26,143.50,145.00,146.00,144.50,145.50,19282097,2797978.82,10.00,186.50,100.50,+2.00,+1.39
KCE,2023-01-26,49.50,49.75,50.25,48.75,49.00,14288984,708165.87,0.50,64.25,34.75,-0.50,-1.01
KEX,2023-01-26,18.70,18.70,19.10,18.40,18.80,3423866,64409.55,0.50,24.30,13.10,+0.10,+0.53
KGI,2023-01-26,5.05,5.05,5.10,5.00,5.05,1912910,9657.63,1.00,6.55,3.54,0.00,0.00
KKP,2023-01-26,69.75,69.75,70.00,69.50,69.75,6590901,459706.26,10.00,90.50,49.00,0.00,0.00
KSL,2023-01-26,3.54,3.56,3.56,3.48,3.52,3791294,13327.29,0.50,4.60,2.48,-0.02,-0.56
KTB,2023-01-26,17.70,17.70,17.90,17.70,17.90,24149472,430316.94,5.15,23.00,12.40,+0.20,+1.13
KTC,2023-01-26,56.75,57.00,57.00,56.00,56.25,11553437,648593.13,1.00,73.75,39.75,-0.50,-0.88
KYE,2023-01-26,319.00,319.00,320.00,318.00,318.00,505,160.99,10.00,414.00,224.00,-1.00,-0.31
LALIN,2023-01-26,9.20,9.20,9.25,9.15,9.25,115126,1059.86,1.00,11.90,6.45,+0.05,+0.54
LANNA,2023-01-26,16.90,16.80,16.80,16.10,16.20,4955479,80956.52,1.00,21.90,11.90,-0.70,-4.14
LH,2023-01-26,9.75,9.80,9.80,9.70,9.80,25216604,246142.50,1.00,12.60,6.85,+0.05,+0.51
LHFG,2023-01-26,1.22,1.23,1.23,1.19,1.22,7539494,9100.71,1.00,1.58,0.86,0.00,0.00
LHK,2023-01-26,5.20,5.20,5.20,5.10,5.10,264794,1359.68,1.00,6.75,3.64,-0.10,-1.92
LIT,2023-01-26,1.85,1.84,1.85,1.82,1.83,263200,481.24,1.00,2.40,1.30,-0.02,-1.08
LPF,2023-01-26,14.20,14.20,14.20,14.00,14.10,1229544,17371.31,10.19,18.40,9.95,-0.10,-0.70
LPH,2023-01-26,5.65,5.65,5.70,5.65,5.70,118210,669.01,0.50,7.30,3.96,+0.05,+0.88
LPN,2023-01-26,4.58,4.58,4.60,4.54,4.54,1875208,8586.67,1.00,5.95,3.22,-0.04,-0.87
M,2023-01-26,57.00,57.00,57.75,56.25,57.25,1335533,76235.80,1.00,74.00,40.00,+0.25,+0.44
MACO,2023-01-26,0.55,0.55,0.56,0.54,0.55,7598730,4137.86,0.10,0.71,0.39,0.00,0.00
MAJOR,2023-01-26,18.40,18.40,18.50,17.90,18.30,2247126,40967.89,1.00,23.90,12.90,-0.10,-0.54
MAKRO,2023-01-26,42.75,42.75,42.75,41.50,42.00,11112384,467503.81,0.50,55.50,30.00,-0.75,-1.75
MBAX,2023-01-26,5.40,5.40,5.45,5.35,5.40,285472,1531.74,1.00,7.00,3.78,0.00,0.00
MC,2023-01-26,11.70,11.70,11.90,11.50,11.90,2185818,25705.07,0.50,15.20,8.20,+0.20,+1.71
MCS,2023-01-26,10.20,10.20,10.20,9.85,10.00,1271966,12689.50,1.00,13.20,7.15,-0.20,-1.96
