name,date,price,high,low,volume,open
TISCO,2023-06-27,96.25,96.75,95.75,2118845,96.5
TK,2023-06-27,7.0,7.1,6.9,92912,7.0
TKN,2023-06-27,10.1,10.3,9.85,9371434,10.0
TKS,2023-06-27,8.45,8.6,8.05,1406757,8.2
TMT,2023-06-27,7.3,7.3,7.2,36725,7.25
TOA,2023-06-27,27.0,27.5,26.75,703206,27.0
TOP,2023-06-27,43.25,43.75,43.0,5173077,43.75
TPIPL,2023-06-27,1.43,1.45,1.43,3568558,1.44
TPIPP,2023-06-27,3.32,3.34,3.3,982003,3.32
TQM,2023-06-27,26.0,27.0,26.0,1327091,26.75
TRUE,2023-06-27,6.1,6.25,6.0,56083165,6.15
TSE,2023-06-27,2.2,2.24,2.2,1453700,2.2
TSTH,2023-06-27,0.85,0.85,0.84,601001,0.84
TTA,2023-06-27,6.5,6.6,6.45,2033758,6.55
TTB,2023-06-27,1.59,1.6,1.58,401148141,1.6
TTLPF,2023-06-27,22,22,21.9,2500,21.9
TTW,2023-06-27,8.45,8.5,8.4,1646801,8.45
TU,2023-06-27,12.8,13.1,12.6,39190755,13.1
TVI,2023-06-27,8.0,8.5,7.8,67002,7.95
TVO,2023-06-27,25.0,25.75,25.0,1447356,25.75
UTP,2023-06-27,10.5,10.9,10.5,401094,10.9
VGI,2023-06-27,3.02,3.08,3.02,21750878,3.06
VIBHA,2023-06-27,2.44,2.5,2.42,1108495,2.48
VNG,2023-06-27,3.96,3.98,3.94,147640,3.94
WHA,2023-06-27,4.54,4.64,4.54,57592713,4.6
WHAIR,2023-06-27,7.15,7.15,7.1,521938,7.15
WHART,2023-06-27,10.4,10.6,10.4,1488310,10.6
WHAUP,2023-06-27,3.64,3.72,3.64,1763485,3.7
WICE,2023-06-27,8.2,8.35,8.1,827660,8.15
WORK,2023-06-27,14.5,14.7,14.4,221694,14.5
