name,from_date,to_date,days,from_price,to_price,diff,pct,spd,avg,max_price,min_price,ttl_qty
ASP,2022-03-24,2022-03-28,3,3.46,3.44,-0.02,-0.58,0,0,3.48,3.44,18552336
ASP,2022-03-29,2022-03-30,2,3.46,3.46,0.0,0.0,1,0,3.48,3.44,8955917
ASP,2022-03-31,2022-04-01,2,3.44,3.44,0.0,0.0,1,0,3.52,3.44,22295489
ASP,2022-04-04,2022-04-04,1,3.46,3.46,0.0,0.0,1,1,3.48,3.44,4666531
ASP,2022-04-05,2022-04-11,5,3.44,3.36,-0.08,-2.33,-3,-1,3.48,3.34,34892025
ASP,2022-04-12,2022-04-12,1,3.4,3.4,0.0,0.0,1,1,3.4,3.3,7509290
ASP,2022-04-18,2022-04-18,1,3.38,3.38,0.0,0.0,1,1,3.4,3.36,3468382
ASP,2022-04-19,2022-04-20,2,3.4,3.42,0.02,0.59,2,1,3.44,3.38,7942006
ASP,2022-04-21,2022-04-27,5,3.38,3.32,-0.06,-1.78,-2,-1,3.42,3.3,35051043
ASP,2022-04-28,2022-04-29,2,3.34,3.38,0.04,1.2,3,1,3.38,3.3,5948612
ASP,2022-05-03,2022-05-05,3,3.2,3.18,-0.02,-0.63,0,0,3.32,3.18,40972525
ASP,2022-05-06,2022-05-06,1,3.22,3.22,0.0,0.0,1,1,3.24,3.14,8131056
ASP,2022-05-09,2022-05-09,1,3.12,3.12,0.0,0.0,1,1,3.22,3.12,7372281
ASP,2022-05-10,2022-05-10,1,3.18,3.18,0.0,0.0,1,1,3.18,3.06,9219014
ASP,2022-05-11,2022-05-13,3,3.14,3.08,-0.06,-1.91,-2,-1,3.2,3.08,17897928
ASP,2022-05-17,2022-05-18,2,3.18,3.18,0.0,0.0,1,0,3.2,3.08,8968538
ASP,2022-05-19,2022-05-19,1,3.14,3.14,0.0,0.0,1,1,3.18,3.1,4776285
ASP,2022-05-20,2022-05-24,3,3.16,3.24,0.08,2.53,5,1,3.26,3.14,10230897
ASP,2022-05-25,2022-05-27,3,3.22,3.2,-0.02,-0.62,0,0,3.26,3.18,8118160
ASP,2022-05-30,2022-06-01,3,3.26,3.3,0.04,1.23,3,1,3.32,3.24,13609344
ASP,2022-06-02,2022-06-07,4,3.28,3.22,-0.06,-1.83,-2,-1,3.3,3.2,11778713
ASP,2022-06-08,2022-06-09,2,3.24,3.24,0.0,0.0,1,0,3.26,3.2,4975773
ASP,2022-06-10,2022-06-16,5,3.22,3.12,-0.1,-3.11,-4,-1,3.24,3.12,19634546
ASP,2022-06-17,2022-06-21,3,3.14,3.16,0.02,0.64,2,0,3.18,3.08,8267214
ASP,2022-06-22,2022-06-23,2,3.14,3.12,-0.02,-0.64,0,0,3.18,3.1,3603469
ASP,2022-06-24,2022-06-29,4,3.14,3.2,0.06,1.91,4,1,3.2,3.12,4786138
ASP,2022-06-30,2022-06-30,1,3.14,3.14,0.0,0.0,1,1,3.2,3.12,2262127
ASP,2022-07-01,2022-07-01,1,3.16,3.16,0.0,0.0,1,1,3.16,3.12,1753299
ASP,2022-07-04,2022-07-06,3,3.12,3.06,-0.06,-1.92,-2,-1,3.16,3.02,11477383
ASP,2022-07-07,2022-07-08,2,3.1,3.14,0.04,1.29,3,1,3.14,3.06,3906669
ASP,2022-07-11,2022-07-15,5,3.12,3.04,-0.08,-2.56,-3,-1,3.14,3.02,8976297
ASP,2022-07-18,2022-07-18,1,3.1,3.1,0.0,0.0,1,1,3.12,3.04,2195435
ASP,2022-07-19,2022-07-19,1,3.08,3.08,0.0,0.0,1,1,3.1,3.06,1098676
ASP,2022-07-20,2022-07-20,1,3.12,3.12,0.0,0.0,1,1,3.12,3.08,1229331
ASP,2022-07-21,2022-07-21,1,3.1,3.1,0.0,0.0,1,1,3.12,3.08,950192
ASP,2022-07-22,2022-07-25,2,3.16,3.2,0.04,1.27,3,1,3.2,3.1,3941395
ASP,2022-07-26,2022-07-26,1,3.16,3.16,0.0,0.0,1,1,3.2,3.16,635908
ASP,2022-07-27,2022-07-27,1,3.18,3.18,0.0,0.0,1,1,3.2,3.14,1202140
ASP,2022-08-01,2022-08-08,6,3.08,3.02,-0.06,-1.95,-2,-1,3.1,2.94,26580487
ASP,2022-08-09,2022-08-10,2,3.06,3.1,0.04,1.31,3,1,3.1,3.02,5649570
ASP,2022-08-11,2022-08-11,1,3.08,3.08,0.0,0.0,1,1,3.12,3.06,1684773
ASP,2022-08-15,2022-08-22,6,3.1,3.18,0.08,2.58,5,0,3.2,3.08,16706213
ASP,2022-08-23,2022-08-24,2,3.12,3.08,-0.04,-1.28,-1,-1,3.18,3.06,11942462
ASP,2022-08-25,2022-08-26,2,3.12,3.12,0.0,0.0,1,0,3.16,3.08,5953851
ASP,2022-08-29,2022-08-29,1,3.1,3.1,0.0,0.0,1,1,3.12,3.08,2232235
ASP,2022-08-30,2022-08-30,1,3.12,3.12,0.0,0.0,1,1,3.12,3.08,2822702
ASP,2022-08-31,2022-09-05,4,3.08,3.04,-0.04,-1.3,-1,-1,3.12,3.02,6837635
ASP,2022-09-06,2022-09-14,7,3.06,3.14,0.08,2.61,5,0,3.18,3.02,13544995
ASP,2022-09-15,2022-09-21,5,3.1,3.06,-0.04,-1.29,-1,-1,3.16,3.04,9578086
ASP,2022-09-22,2022-09-22,1,3.08,3.08,0.0,0.0,1,1,3.08,3.04,1092249
ASP,2022-09-23,2022-10-03,7,3.06,3.0,-0.06,-1.96,-2,-1,3.08,2.98,19240418
ASP,2022-10-04,2022-10-07,4,3.02,3.02,0.0,0.0,1,0,3.04,3.0,5138665
ASP,2022-10-10,2022-10-10,1,2.98,2.98,0.0,0.0,1,1,3.04,2.98,4036818
ASP,2022-10-11,2022-10-19,7,3.0,3.08,0.08,2.67,5,0,3.08,2.98,14342942
ASP,2022-10-20,2022-10-20,1,3.0,3.0,0.0,0.0,1,1,3.08,3.0,13014611
ASP,2022-10-21,2022-10-27,5,3.02,3.02,0.0,0.0,1,0,3.04,2.98,16232812
ASP,2022-10-28,2022-10-28,1,2.98,2.98,0.0,0.0,1,1,3.04,2.98,3925968
ASP,2022-10-31,2022-11-08,7,3.0,3.02,0.02,0.67,2,0,3.04,2.98,14943793
ASP,2022-11-09,2022-11-15,5,3.0,2.98,-0.02,-0.67,0,0,3.04,2.94,14653265
ASP,2022-11-16,2022-11-16,1,3.0,3.0,0.0,0.0,1,1,3.0,2.98,2276986
ASP,2022-11-17,2022-11-18,2,2.98,2.98,0.0,0.0,1,0,3.0,2.98,1334206
ASP,2022-11-21,2022-11-21,1,3.0,3.0,0.0,0.0,1,1,3.02,2.98,1583040
ASP,2022-11-22,2022-11-25,4,2.98,2.98,0.0,0.0,1,0,3.02,2.96,6299121
ASP,2022-11-28,2022-12-02,5,3.0,3.0,0.0,0.0,1,0,3.02,2.98,7430273
ASP,2022-12-06,2022-12-21,12,2.98,2.94,-0.04,-1.34,-1,-1,3.0,2.92,21951928
ASP,2022-12-22,2022-12-30,7,2.96,2.98,0.02,0.68,2,0,2.98,2.92,11181503
ASP,2023-01-03,2023-01-05,3,2.96,2.96,0.0,0.0,1,0,2.98,2.94,8840544
ASP,2023-01-06,2023-01-13,6,2.98,3.06,0.08,2.68,5,0,3.1,2.96,18302165
